accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription,ticker,cik
0000320193-23-000106,2023-11-03,2023-09-30,2023-11-02T18:08:27.000Z,34,10-K,001-36743,231373899,,9569569,1,1,aapl-20230930.htm,10-K,AAPL,0000320193
0000320193-23-000104,2023-11-02,2023-11-02,2023-11-02T16:30:32.000Z,34,8-K,001-36743,231372885,"2.02,9.01",450675,1,1,aapl-20231102.htm,8-K,AAPL,0000320193
0000320193-23-000077,2023-08-04,2023-07-01,2023-08-03T18:04:43.000Z,34,10-Q,001-36743,231141522,,5939898,1,1,aapl-20230701.htm,10-Q,AAPL,0000320193
0000320193-23-000075,2023-08-03,2023-08-03,2023-08-03T16:30:21.000Z,34,8-K,001-36743,231140568,"2.02,9.01",452428,1,1,aapl-20230803.htm,8-K,AAPL,0000320193
0001140361-23-023909,2023-05-10,2023-05-08,2023-05-10T16:31:27.000Z,34,8-K,001-36743,23907040,"8.01,9.01",932286,1,1,ny20007635x4_8k.htm,8-K,AAPL,0000320193
0000320193-23-000064,2023-05-05,2023-04-01,2023-05-04T18:03:52.000Z,34,10-Q,001-36743,23890444,,6314786,1,1,aapl-20230401.htm,10-Q,AAPL,0000320193
0000320193-23-000063,2023-05-04,2023-05-04,2023-05-04T16:30:43.000Z,34,8-K,001-36743,23889274,"2.02,9.01",493947,1,1,aapl-20230504.htm,8-K,AAPL,0000320193
0001140361-23-011192,2023-03-10,2023-03-10,2023-03-10T16:30:52.000Z,34,8-K,001-36743,23724135,5.07,312760,1,1,brhc10049413_8k.htm,8-K,AAPL,0000320193
0000320193-23-000006,2023-02-03,2022-12-31,2023-02-02T18:01:30.000Z,34,10-Q,001-36743,23582662,,5915088,1,1,aapl-20221231.htm,10-Q,AAPL,0000320193
0000320193-23-000005,2023-02-02,2023-02-02,2023-02-02T16:30:33.000Z,34,8-K,001-36743,23581333,"2.02,9.01",464814,1,1,aapl-20230202.htm,8-K,AAPL,0000320193
0001193125-22-278435,2022-11-07,2022-11-06,2022-11-07T06:27:07.000Z,34,8-K,001-36743,221363624,"7.01,9.01",299395,1,1,d400465d8k.htm,8-K,AAPL,0000320193
0000320193-22-000108,2022-10-28,2022-09-24,2022-10-27T18:01:14.000Z,34,10-K,001-36743,221338448,,10332356,1,1,aapl-20220924.htm,10-K,AAPL,0000320193
0000320193-22-000107,2022-10-27,2022-10-27,2022-10-27T16:30:22.000Z,34,8-K,001-36743,221337696,"2.02,9.01",506714,1,1,aapl-20221027.htm,8-K,AAPL,0000320193
0001193125-22-225365,2022-08-19,2022-08-17,2022-08-19T16:31:06.000Z,34,8-K,001-36743,221181249,"5.02,5.03,9.01",600283,1,1,d366128d8k.htm,8-K,AAPL,0000320193
